index	id_ajuste	variable_daso	especie	estrato	aux1	Ecuacion	aux2	Mascara
---	VCC	---	---	---	---	---	---
0	VCC+Ps_ef	VCC	21	ef	Ecuacion:	(-2.3059 + (0.0079066 * (Alt65_cm_PNOA2_band1[mi_mask]**1.5)) + (0.10406 * (Alt100_cm_PNOA2_band1[mi_mask])) + (0.067269 * (Cob5m_PRT_PNOA2_band1[mi_mask]**1.7)) + (-0.26411 * (Alt65_cm_PNOA2_band1[mi_mask])) + (-632.11 * (1 / (CobEstrDe0250a0500cm_TLR_PNOA2_band1[mi_mask] + 10))))	Mascara:	mfe25_nSP1->[21=[21, 22, 31, 32, 33, 34, 217]] // zona->[ef=[4, 5]]
10	VCC+Ps_k	VCC	21	k	Ecuacion:	(-11.556 + (0.0036193 * (Alt80_cm_PNOA2_band1[mi_mask]**1.5)) + (165.9 * (CobEstr_MidHD_TopHD_TLR_PNOA2_band1[mi_mask] / (CobEstr_050cm_200cm_TLR_PNOA2_band1[mi_mask] + CobEstr_200cm_MidHD_TLR_PNOA2_band1[mi_mask] + CobEstr_MidHD_TopHD_TLR_PNOA2_band1[mi_mask] + 1.0))) + (0.055844 * (Cob5m_PRT_PNOA2_band1[mi_mask]**1.7)) + (-2.4963 * (CobEstr_MidHD_TopHD_TLR_PNOA2_band1[mi_mask])) + (0.51982 * (CobEstr_050cm_200cm_TLR_PNOA2_band1[mi_mask])))	Mascara:	mfe25_nSP1->[21=[21, 22, 31, 32, 33, 34, 217]] // zona->[k=10]
20	VCC+Ps_hj	VCC	21	hj	Ecuacion:	(105.73 + (0.0041292 * (Alt80_cm_PNOA2_band1[mi_mask]**1.5)) + (0.027491 * (CobEstr_MidHD_TopHD_TLR_PNOA2_band1[mi_mask]**2)) + (-3.4458 * (CobEstr_MidHD_TopHD_TLR_PNOA2_band1[mi_mask])) + (-99.733 * (CobEstr_200cm_MidHD_TLR_PNOA2_band1[mi_mask] / (CobEstr_050cm_200cm_TLR_PNOA2_band1[mi_mask] + CobEstr_200cm_MidHD_TLR_PNOA2_band1[mi_mask] + CobEstr_MidHD_TopHD_TLR_PNOA2_band1[mi_mask] + 1.0))) + (0.029351 * (Cob5m_PRT_PNOA2_band1[mi_mask]**1.7)))	Mascara:	mfe25_nSP1->[21=[21, 22, 31, 32, 33, 34, 217]] // zona->[hj=[7, 9]]
30	VCC+Ps_bdgi	VCC	21	bdgi	Ecuacion:	(41.506 + (0.0024677 * (Alt80_cm_PNOA2_band1[mi_mask]**1.5)) + (0.056175 * (Cob5m_PRT_PNOA2_band1[mi_mask]**1.7)) + (-0.05339 * (CobEstr_MidHD_TopHD_TLR_PNOA2_band1[mi_mask]**1.7)) + (-652.46 * (1 / (CobEstrDe0250a0500cm_TLR_PNOA2_band1[mi_mask] + 10))) + (0.0012633 * (Alt65_cm_PNOA2_band1[mi_mask]**1.5)))	Mascara:	mfe25_nSP1->[21=[21, 22, 31, 32, 33, 34, 217]] // zona->[bdgi=[1, 3, 6, 8]]
40	VCC+Ps_a	VCC	21	a	Ecuacion:	(17.919 + (0.0027015 * (Alt80_cm_PNOA2_band1[mi_mask]**1.5)) + (0.060419 * (Cob5m_PRT_PNOA2_band1[mi_mask]**1.7)) + (-0.1377 * (Alt65_cm_PNOA2_band1[mi_mask])) + (0.0010231 * (Alt95_cm_PNOA2_band1[mi_mask]**1.7)) + (-0.00052828 * (Alt100_cm_PNOA2_band1[mi_mask]**1.7)))	Mascara:	mfe25_nSP1->[21=[21, 22, 31, 32, 33, 34, 217]] // zona->[a=0]
50	VCC+Ps_c	VCC	21	c	Ecuacion:	(26.304 + (0.0036047 * (Alt80_cm_PNOA2_band1[mi_mask]**1.5)) + (1718.2 * (1 / ((CobEstrDe0150a0250cm_TLR_PNOA2_band1[mi_mask] + CobEstrDe0250a0500cm_TLR_PNOA2_band1[mi_mask]) + 10))) + (-1636.6 * (1 / (CobEstrDe0250a0500cm_TLR_PNOA2_band1[mi_mask] + 10))) + (0.044136 * (Cob5m_PRT_PNOA2_band1[mi_mask]**1.7)) + (-0.078989 * (Cob3m_PRT_PNOA2_band1[mi_mask]**1.5)))	Mascara:	mfe25_nSP1->[21=[21, 22, 31, 32, 33, 34, 217]] // zona->[c=2]
60	VCC+Qp_f	VCC	43	f	Ecuacion:	(6.5464 + (0.0016355 * (Alt80_cm_PNOA2_band1[mi_mask]**1.5)) + (0.01533 * (Cob5m_PRT_PNOA2_band1[mi_mask]**1.7)) + (0.00070869 * (Alt65_cm_PNOA2_band1[mi_mask]**1.5)))	Mascara:	mfe25_nSP1->[43=[7, 10, 11, 13, 15, 40, 43, 49, 54, 55, 59, 70, 73, 75, 77, 79, 90, 92, 99, 207, 255, 275, 277, 307, 355, 377, 392, 455, 499, 999]] // zona->[f=5] // zonaFecha->[sinHoja=[0] o sinHoja=[5, 6, 7, 8, 9]]
70	VCC+Qp_e	VCC	43	e	Ecuacion:	(20.888 + (0.0013034 * (Alt80_cm_PNOA2_band1[mi_mask]**1.5)) + (-2.3459 * ((CobEstrDe0150a0250cm_TLR_PNOA2_band1[mi_mask] + CobEstrDe0250a0500cm_TLR_PNOA2_band1[mi_mask]) / (CobEstrDe0025a0150cm_TLR_PNOA2_band1[mi_mask] + CobEstrDe0150a0250cm_TLR_PNOA2_band1[mi_mask] + CobEstrDe0250a0500cm_TLR_PNOA2_band1[mi_mask] + CobEstrDe0500a9999cm_TLR_PNOA2_band1[mi_mask] + 1.0))) + (0.0010477 * (Alt65_cm_PNOA2_band1[mi_mask]**1.5)) + (0.020209 * (CobEstr_MidHD_TopHD_TLR_PNOA2_band1[mi_mask]**1.7)))	Mascara:	mfe25_nSP1->[43=[7, 10, 11, 13, 15, 40, 43, 49, 54, 55, 59, 70, 73, 75, 77, 79, 90, 92, 99, 207, 255, 275, 277, 307, 355, 377, 392, 455, 499, 999]] // zona->[e=4] // zonaFecha->[sinHoja=[0] o sinHoja=[5, 6, 7, 8, 9]]
80	VCC+Qp_e&sinHoja	VCC	43	e&sinHoja	Ecuacion:	(-3.9387 + (4.3888e-05 * (Alt95_cm_PNOA2_band1[mi_mask]**1.7)) + (0.080198 * (Cob5m_PRT_PNOA2_band1[mi_mask]**1.5)) + (2.3562 * ((CobEstrDe0150a0250cm_TLR_PNOA2_band1[mi_mask] + CobEstrDe0250a0500cm_TLR_PNOA2_band1[mi_mask]) / (CobEstrDe0025a0150cm_TLR_PNOA2_band1[mi_mask] + CobEstrDe0150a0250cm_TLR_PNOA2_band1[mi_mask] + CobEstrDe0250a0500cm_TLR_PNOA2_band1[mi_mask] + CobEstrDe0500a9999cm_TLR_PNOA2_band1[mi_mask] + 1.0))) + (-0.071951 * (Alt65_cm_PNOA2_band1[mi_mask])) + (0.0025175 * (Alt80_cm_PNOA2_band1[mi_mask]**1.5)))	Mascara:	mfe25_nSP1->[43=[7, 10, 11, 13, 15, 40, 43, 49, 54, 55, 59, 70, 73, 75, 77, 79, 90, 92, 99, 207, 255, 275, 277, 307, 355, 377, 392, 455, 499, 999]] // zona->[e=4] // zonaFecha->[sinHoja=[11, 12, 13]]
